x,y,z,avg_af,avg_relV,H_index,var_af,drift_flux,avg_dPdy
0.00000000e+00,0.00000000e+00,0.00000000e+00,9.85469684e-01,2.93769053e-01,6.04630355e-01,3.60178213e-04,8.26053176e-05,-2.57800169e+01
4.80000000e-03,0.00000000e+00,0.00000000e+00,9.94093951e-01,6.29421795e-01,7.13517374e-01,1.28219454e-04,-6.59124608e-05,2.00977797e-01
9.60000000e-03,0.00000000e+00,0.00000000e+00,9.89099152e-01,3.46670610e-01,6.35498627e-01,2.57578670e-04,-6.86016299e-05,-8.46524310e+00
1.44000000e-02,0.00000000e+00,0.00000000e+00,9.96544008e-01,5.00944119e-01,5.41146262e-01,7.57726020e-05,-8.44472718e-05,1.12861493e+01
1.92000000e-02,0.00000000e+00,0.00000000e+00,9.91564216e-01,3.81304202e-01,8.25354603e-01,1.83372321e-04,-1.30792684e-04,1.58272954e+01
2.40000000e-02,0.00000000e+00,0.00000000e+00,9.96401077e-01,4.62829403e-01,6.97125134e-01,7.49399570e-05,-2.69762262e-05,4.20136995e+01
2.88000000e-02,0.00000000e+00,0.00000000e+00,9.92394551e-01,2.59431078e-01,5.02422797e-01,2.06999425e-04,7.62346865e-05,2.51034398e+01
3.36000000e-02,0.00000000e+00,0.00000000e+00,9.86820296e-01,1.96480904e-01,4.94139272e-01,3.46445445e-04,8.64871300e-05,1.37759012e+00
0.00000000e+00,4.80000000e-03,0.00000000e+00,9.90322523e-01,4.37377770e-01,5.03175695e-01,2.65711807e-04,-1.54300297e-04,-2.16569537e+00
4.80000000e-03,4.80000000e-03,0.00000000e+00,9.90400572e-01,5.14718131e-01,5.46804442e-01,2.34409153e-04,3.61481084e-05,-1.61840082e+01
9.60000000e-03,4.80000000e-03,0.00000000e+00,9.88480869e-01,3.09807036e-01,6.17543135e-01,2.47303984e-04,-1.73868685e-05,-1.13744817e+01
1.44000000e-02,4.80000000e-03,0.00000000e+00,9.95256721e-01,6.02498918e-01,3.84038490e-01,1.40457104e-04,-4.49781911e-04,-1.18840031e+01
1.92000000e-02,4.80000000e-03,0.00000000e+00,9.95021638e-01,5.26449898e-01,5.96007208e-01,1.06490654e-04,-2.09517909e-04,1.27183716e+01
2.40000000e-02,4.80000000e-03,0.00000000e+00,9.94168657e-01,4.39318016e-01,6.34263975e-01,1.31103834e-04,-2.04932104e-05,-2.40170390e+00
2.88000000e-02,4.80000000e-03,0.00000000e+00,9.91784603e-01,2.85435571e-01,5.85715416e-01,1.94631779e-04,-8.53847680e-06,8.60731100e-01
3.36000000e-02,4.80000000e-03,0.00000000e+00,9.89001089e-01,2.64439855e-01,5.89719871e-01,3.04037965e-04,-5.09576875e-05,-1.76148313e+01
0.00000000e+00,9.60000000e-03,0.00000000e+00,9.92612294e-01,6.44159981e-01,4.31854458e-01,2.15093884e-04,2.09290385e-04,-3.75002592e+00
4.80000000e-03,9.60000000e-03,0.00000000e+00,9.89738666e-01,4.32260601e-01,6.06472139e-01,2.18905538e-04,-8.48080780e-05,-1.16185744e+01
9.60000000e-03,9.60000000e-03,0.00000000e+00,9.90114916e-01,3.25290912e-01,7.05724534e-01,2.03233982e-04,-5.13688600e-05,-1.87736444e+01
1.44000000e-02,9.60000000e-03,0.00000000e+00,9.95950664e-01,5.68309005e-01,4.80861574e-01,8.74925298e-05,9.55750412e-07,1.08051096e+00
1.92000000e-02,9.60000000e-03,0.00000000e+00,9.93773645e-01,5.57145090e-01,3.99930445e-01,1.67765762e-04,8.20034062e-05,-9.13187033e+00
